Город,Численность населения,Страна
Лагуат,"126,29",Алжир
Эйн-Уссера,"134,17",Алжир
Столин,"12,40",Белоруссия
Черкесск,"116,50",Россия
Верхнедвинск,"7,30",Белоруссия
Монс,"91,22",Бельгия
Амасья,"78,549",Турция
Палермо,"661,73",Италия
Лида,"97,60",Белоруссия
Остенде,"68,93",Бельгия
Вена,"1664,15",Австрия
Лисберн,"71,46",Северная Ирландия
Глазго,"580,69",Шотландия
Калинковичи,"38,40",Белоруссия
Акхисар,"102,45",Турция
Карс,"73,59",Турция
Бююкчекмедже,"181,61",Турция
Баб-Аззур,"115,44",Алжир
Балашиха,"198,00",Россия
Йошкар-Ола,"249,00",Россия
Пальма-де-Майорка,"375,77",Испания
Бени-Суэйф,"225,79",Египет
Релизан,"126,79",Алжир
Берлин,"3431,68",Германия
Сук-Ахрас,"148,33",Алжир
Мезитли,"121,24",Турция
Невинномысск,"128,00",Россия
Вервье,"18,25",Бельгия
Арзамас,"105,30",Россия
Глубокое,"18,20",Белоруссия
Трайскирхен,"16,50",Австрия
Рабат,"11,46",Мальта
Вервье,"53,60",Бельгия
Сетиф,"246,38",Алжир
Тюрнхаут,"26,07",Бельгия
Мадрид,"3155,36",Испания
Уэллс,"10,41",Англия
Тургутлу,"117,80",Турция
Жлобин,"75,70",Белоруссия
Петриков,"10,50",Белоруссия
Бискра,"207,99",Алжир
Луксор,"487,90",Египет
Фельдкирх,"30,09",Австрия
Барань,"11,60",Белоруссия
Дятлово,"7,80",Белоруссия
Флоренция,"365,80",Италия
Житковичи,"15,90",Белоруссия
Новошахтинск,"113,00",Россия
Казань,"1137,00",Россия
Синнурис,"87,64",Египет
Авсим,"73,84",Египет
Нёшато,"5,46",Бельгия
Эль-Идва,"17,11",Египет
Дербент,"112,50",Россия
Абу-Каркас,"60,51",Египет
Блида,"264,60",Алжир
Маасейк,"23,63",Бельгия
Назилли,"110,44",Турция
Перхтольдсдорф,"14,49",Австрия
Линц,"188,89",Австрия
Суонси,"228,10",Уэльс
Корнойбург,"11,74",Австрия
Питерборо,"163,30",Англия
Ньюкасл,"523,66",Австралия
Великий Новгород,"215,00",Россия
Реджо-Эмилия,"164,20",Италия
Нижневартовск,"250,00",Россия
Череповец,"310,00",Россия
Катания,"297,84",Италия
Сафага,"40,90",Египет
Сукута,"16,15",Гамбия
Испарта,"166,90",Турция
Виртон,"11,17",Бельгия
Бани Мазар,"90,87",Египет
Базель,"164,94",Швейцария
Фаниполь,"12,70",Белоруссия
Сток-он-Трент,"239,70",Англия
Оспиталет,"252,88",Испания
Подольск,"183,00",Россия
Лёвен,"22,74",Бельгия
Хамрун,"9,51",Мальта
Эйн-Бейда,"114,11",Алжир
Экло,"19,54",Бельгия
Лепель,"17,40",Белоруссия
Орша,"117,20",Белоруссия
Брест,"310,80",Белоруссия
Модена,"181,39",Италия
Абакан,"164,00",Россия
Эльче,"215,14",Испания
Велингара,"11,11",Гамбия
Даманхур,"252,02",Египет
Зальфельден,"15,73",Австрия
Санкт-Пёльтен,"51,36",Австрия
Бастонь,"14,14",Бельгия
Ангарск,"241,00",Россия
Столбцы,"15,40",Белоруссия
Дарвин,"117,40",Австралия
Дрогичин,"14,60",Белоруссия
Молодечно,"94,20",Белоруссия
Брикама,"83,76",Гамбия
Шанлыурфа,"465,75",Турция
Копейск,"137,00",Россия
Билефельд,"323,62",Германия
Халлайн,"19,17",Австрия
Лёвен,"14,68",Бельгия
Кемерово,"521,00",Россия
Корми,"16,58",Мальта
Кисловодск,"129,00",Россия
Лиенц,"12,13",Австрия
Екатеринбург,"1344,00",Россия
Серпухов,"123,00",Россия
Междуреченск,"104,00",Россия
Мостагнем,"140,25",Алжир
Брегенц,"27,15",Австрия
Пинск,"130,60",Белоруссия
Рипон,"15,92",Англия
Тельфс,"14,44",Австрия
Чебоксары,"448,00",Россия
Батайск,"104,00",Россия
Шарлеруа,"16,69",Бельгия
Санта-Венера,"6,09",Мальта
Мёдлинг,"20,65",Австрия
Слоним,"48,80",Белоруссия
Монца,"121,10",Италия
Тиарет,"198,21",Алжир
Бастонь,"4,75",Бельгия
Бирмингем,"1010,00",Англия
Горки,"32,60",Белоруссия
Волгодонск,"169,00",Россия
Эль-Ашир-мин-Рамадан,"167,22",Египет
Брюгге,"18,18",Бельгия
Дейр-Мавас,"43,65",Египет
Бордж-эль-Киффан,"122,88",Алжир
Ижевск,"611,00",Россия
Генуя,"611,68",Италия
Канберра — Куинбиан,"388,07",Австралия
Ельск,"9,70",Белоруссия
Лейпциг,"515,47",Германия
Инвернесс,"51,83",Шотландия
Аннаба,"383,50",Алжир
Турне,"7,55",Бельгия
Мерсин,"700,74",Турция
Синт-Никлас,"37,85",Бельгия
Хоэнемс,"14,86",Австрия
Медина-Ситтат-Октобер,"215,65",Египет
Гебзе,"277,93",Турция
Шклов,"16,40",Белоруссия
Чаусы,"10,60",Белоруссия
Дайрут,"80,68",Египет
Калуга,"328,00",Россия
Кютахья,"191,30",Турция
Новосибирск,"1409,00",Россия
Сыктывкар,"236,00",Россия
Таранто,"194,86",Италия
Прато,"185,22",Италия
Турне,"13,22",Бельгия
Айдын,"174,27",Турция
Инегёль,"162,45",Турция
Костюковичи,"15,90",Белоруссия
Фоджа,"153,36",Италия
Верона,"264,87",Италия
Ла-Марса,"77,89",Тунис
Рогачёв,"33,60",Белоруссия
Кёльн,"995,42",Германия
Бильбао,"353,17",Испания
Новомосковск,"131,00",Россия
Мосты,"16,60",Белоруссия
Кена,"222,72",Египет
Бадалона,"218,55",Испания
Тюэн,"14,63",Бельгия
Брисбен,"1867,59",Австралия
Вельс,"58,62",Австрия
Благовещенск,"206,00",Россия
Люцерн,"59,24",Швейцария
Салават,"156,00",Россия
Эскишехир,"618,18",Турция
Гёльджюк,"133,13",Турция
Бендиго,"8,65",Австралия
Джельфа,"221,23",Алжир
Алст,"31,38",Бельгия
Бари,"321,75",Италия
Минья-эль-Камх,"64,85",Египет
Белгород,"363,00",Россия
Монс,"22,47",Бельгия
Беджая,"182,13",Алжир
Абу Тидж,"75,36",Египет
Маниса,"276,04",Турция
Нефтекамск,"119,50",Россия
Вервье,"5,62",Бельгия
Намюр,"107,18",Бельгия
Дзержинск,"244,00",Россия
Воронеж,"848,00",Россия
Тонгерен,"30,06",Бельгия
Комсомольск-на-Амуре,"270,00",Россия
Аттард,"10,19",Мальта
Фельдкирхен,"14,30",Австрия
Файюм,"338,96",Египет
Вайдхофен-на-Ибсе,"11,67",Австрия
Красногорск,"104,00",Россия
Дериндже,"122,27",Турция
Эль-Муруж,"81,99",Тунис
Нижнекамск,"227,00",Россия
Джейхан,"100,28",Турция
Тульн-на-Дунае,"14,19",Австрия
Докшицы,"6,60",Белоруссия
Наровля,"8,10",Белоруссия
Эль-Кусейр,"44,44",Египет
Кордова,"321,16",Испания
Больцано,"101,42",Италия
Чекмекёй,"149,49",Турция
Мельбурн,"3806,09",Австралия
Жодино,"61,80",Белоруссия
Аксарай,"169,08",Турция
Хасселт,"8,62",Бельгия
Матарийя,"105,41",Египет
Крупки,"8,60",Белоруссия
Лёвен,"22,06",Бельгия
Лунинец,"23,60",Белоруссия
Парма,"180,94",Италия
Кайсери,"786,64",Турция
Турне,"67,53",Бельгия
Шпитталь,"15,94",Австрия
Вираншехир,"74,281",Турция
Гамбург,"1772,10",Германия
Кафр-эш-Шейх,"156,08",Египет
Эдинбург,"468,07",Шотландия
Хасселт,"11,80",Бельгия
Светлогорск,"69,90",Белоруссия
Шарлеруа,"35,62",Бельгия
Альметьевск,"142,00",Россия
Сандерленд,"280,30",Англия
Бейла,"71,35",Египет
Октябрьский,"109,70",Россия
Ковентри,"306,70",Англия
Леондинг,"23,62",Австрия
Поставы,"19,80",Белоруссия
Нема-Кунку,"25,69",Гамбия
Тувумба,"123,41",Австралия
Айзенштадт,"12,37",Австрия
Куфштайн,"16,46",Австрия
Гзира,"7,09",Мальта
Речица,"64,60",Белоруссия
Фува,"66,84",Египет
Грац,"247,70",Австрия
Элязыг,"305,79",Турция
Суаньи,"11,98",Бельгия
Санкт-Файт-ан-дер-Глан,"12,99",Австрия
Чечерск,"8,00",Белоруссия
Пьяченца,"101,13",Италия
Эш-Шалатин,"11,70",Египет
Электросталь,"146,00",Россия
Кирдасах,"84,52",Египет
Имбаба,"12,67",Египет
Мерса-Матрух,"156,95",Египет
Биркиркара,"21,78",Мальта
Барселона,"1593,08",Испания
Моста,"18,68",Мальта
Ноттингем,"288,70",Англия
Сидней,"4336,37",Австралия
Овьедо,"212,17",Испания
Солфорд,"219,20",Англия
Сус,"173,05",Тунис
Витебск,"348,80",Белоруссия
Медеа,"155,85",Алжир
Стерлитамак,"272,00",Россия
Эш-Шелифф (Эль-Аснам),"235,06",Алжир
Аль-Харга,"65,49",Египет
Скикда,"178,69",Алжир
Мытищи,"165,00",Россия
Асьют,"403,20",Египет
Клостернойбург,"25,22",Австрия
Червень,"10,10",Белоруссия
Дорнбирн,"44,24",Австрия
Санкт-Андре,"10,56",Австрия
Халле-Вилворде,"37,32",Бельгия
Нивель,"12,44",Бельгия
Тюрнхаут,"18,58",Бельгия
Бристоль,"416,40",Англия
Заказик,"314,33",Египет
Атфих,"15,16",Египет
Тюэн,"9,77",Бельгия
Гётцис,"10,55",Австрия
Нёшато,"5,72",Бельгия
Паола,"8,86",Мальта
Виртон,"5,45",Бельгия
Болонья,"374,65",Италия
Кремс,"23,93",Австрия
Хард,"12,05",Австрия
Жуковский,"105,00",Россия
Милан,"1296,67",Италия
Ахмим,"107,61",Египет
Терниц,"15,07",Австрия
Тюрнхаут,"39,79",Бельгия
Мускрон,"52,83",Бельгия
Тахта,"89,95",Египет
Сассари,"130,17",Италия
Пермь,"987,00",Россия
Биль (Бьенн),"50,01",Швейцария
Петропавловск-Камчатский,"194,00",Россия
Мсила,"140,05",Алжир
Балларат,"89,67",Австралия
Магагах,"81,49",Египет
Ганновер,"519,62",Германия
Джилонг,"169,54",Австралия
Камышин,"116,00",Россия
Леобен,"25,23",Австрия
Находка,"166,00",Россия
Москва,"10563,00",Россия
Вестминстер,"234,10",Англия
Уаргла,"183,24",Алжир
Идку,"101,23",Египет
Арлон,"26,37",Бельгия
Ипр,"17,61",Бельгия
Гельма,"133,13",Алжир
Синт-Никлас,"69,73",Бельгия
Дендермонде,"43,35",Бельгия
Алжир,"1518,08",Алжир
Руселаре,"55,78",Бельгия
Адана,"1529,30",Турция
Сома,"75,371",Турция
Диксмёйде,"15,73",Бельгия
Мускрон,"17,56",Бельгия
Хургада,"223,12",Египет
Могилёв,"354,00",Белоруссия
Суэц,"547,35",Египет
Мессина,"243,60",Италия
Цветль,"11,49",Австрия
Капфенберг,"21,93",Австрия
Шубра-эль-Хейма,"1072,95",Египет
Турне,"16,84",Бельгия
Лестер,"292,60",Англия
Сан-Джуанн,"12,63",Мальта
Гент,"233,12",Бельгия
Бордж-Бу-Арреридж,"167,23",Алжир
Турин,"910,44",Италия
Ауденарде,"24,16",Бельгия
Смолевичи,"15,10",Белоруссия
Эт-Тур,"28,28",Египет
Нивель,"24,29",Бельгия
Равенна,"154,56",Италия
Наг-Хаммади,"49,83",Египет
Тула,"492,00",Россия
Ляховичи,"11,00",Белоруссия
Нашшар,"11,95",Мальта
Факус,"88,23",Египет
Кахраманмараш,"390,54",Турция
Остенде,"8,93",Бельгия
Уссурийск,"153,00",Россия
Эдирне,"140,37",Турция
Архангельск,"348,00",Россия
Искендерун,"175,45",Турция
Бельгас,"97,57",Египет
Кличев,"7,50",Белоруссия
Антверпен,"472,53",Бельгия
Вёрне,"11,84",Бельгия
Пурсаклар,"101,58",Турция
