N,Город,Регион,Федеральный_округ,Население,Основан,Статус_города,Прежние_названия
48,Артёмовский,Свердловская область,Уральский,28 943,1665,1938,Егоршинские копи
49,Архангельск,Архангельская область,Северо-Западный,301 199,1584,1613,Новохолмогоры (до 1613)
50,Асбест,Свердловская область,Уральский,57 317,1889,1933,Куделька (до 1928)
51,Асино,Томская область,Сибирский,24 913,1896,1952,Ксеньевка (до 1933)
52,Астрахань,Астраханская область,Южный,475 629,1558,1717,"Хаджи-Тархан, Аштархан"
53,Аткарск,Саратовская область,Приволжский,22 709,XVIII век,1780,
54,Ахтубинск,Астраханская область,Южный,35 635,1768,1959,Владимировка (до 1959)
55,Ачинск,Красноярский край,Сибирский,100 621,1683,1782,
56,Ачхой-Мартан,Чечня,Северо-Кавказский,30 739,1846,2023,Новосельское (1944—1957)
57,Аша,Челябинская область,Уральский,27 890,1898,1933,Аша-Балашовский завод
58,Бабаево,Вологодская область,Северо-Западный,11 739,XV век,1925,
59,Бабушкин,Бурятия,Сибирский,4 368,1760,1902,Мысовский (до 1892);
60,Бавлы,Татарстан,Приволжский,21 628,1658,1997,"Мансурово, Бавлы-Мансурово"
61,Багратионовск,Калининградская область,Северо-Западный,6 417,1336,1946,Прейсиш-Эйлау (до 1946)
62,Байкальск,Иркутская область,Сибирский,13 199,1961,1966,
63,Баймак,Башкортостан,Приволжский,17 833,1850,1938,"Таналыково, Баймак-Таналыково"
64,Бакал,Челябинская область,Уральский,16 345,1757,1951,
65,Баксан,Кабардино-Балкария,Северо-Кавказский,39 593,1891,1967,Кучмазукино (до 1920);
66,Балабаново,Калужская область,Центральный,29 029,1584,1972,
67,Балаково,Саратовская область,Приволжский,184 466,1762,1911,
68,Балахна,Нижегородская область,Приволжский,48 569,1474,1536,
69,Балашиха,Московская область,Центральный,520 962,1830,1939,
70,Балашов,Саратовская область,Приволжский,74 057,XVII век,1780,
71,Балей,Забайкальский край,Сибирский,10 286,1736,1932,Новотроицкий промысел (до 1932)
72,Балтийск,Калининградская область,Северо-Западный,26 796,1626,1725,Пиллау (до 1946)
73,Барабинск,Новосибирская область,Сибирский,27 648,1893,1917,
74,Барнаул,Алтайский край,Сибирский,630 877,1730,1771,
75,Барыш,Ульяновская область,Приволжский,14 924,XVII век,1954,
76,Батайск,Ростовская область,Южный,126 988,1769,1938,"Батайское, Батайская"
77,Бахчисарайне призн.,Крым,Южный,28 609,1532,1532,
78,Бежецк,Тверская область,Центральный,21 466,1137,1775,Городецк (до 1766)
79,Белая Калитва,Ростовская область,Южный,40 448,1703,1958,Усть-Белокалитвенская
80,Белая Холуница,Кировская область,Приволжский,9 659,1764,1965,Белохолуницкий (до 1965)
81,Белгород,Белгородская область,Центральный,339 978,1596,1596,
82,Белебей,Башкортостан,Приволжский,59 195,1757,1781,
83,Белёв,Тульская область,Центральный,12 846,1147,1147,
84,Белинский,Пензенская область,Приволжский,8 656,1708,1780,Чембар (до 1948)
85,Белово,Кемеровская область,Сибирский,68 542,1726,1938,
86,Белогорск,Амурская область,Дальневосточный,61 440,1860,1926,Александровское (до 1926);
87,Белогорскне призн.,Крым,Южный,17 445,XIII век,XIII век,Карасубазар (до 1944)
88,Белозерск,Вологодская область,Северо-Западный,8 375,862,862,Белоозеро
89,Белокуриха,Алтайский край,Сибирский,14 735,1846,1982,
90,Беломорск,Карелия,Северо-Западный,7 708,XII век,1938,Сорока (до 1938)
91,Белоозёрский,Московская область,Центральный,13 737,1961,2019,
92,Белорецк,Башкортостан,Приволжский,64 525,1762,1923,Белорецкий завод (до 1923)
93,Белореченск,Краснодарский край,Южный,55 870,1862,1958,Белореченская (до 1958)
94,Белоусово,Калужская область,Центральный,10 946,1962,2004,
95,Белоярский,Ханты-Мансийский АО,Уральский,19 994,1969,1988,
96,Белый,Тверская область,Центральный,3 125,1350,1350,
97,Бердск,Новосибирская область,Сибирский,102 850,1716,1944,Бердский острог (до 1783);
98,Березники,Пермский край,Приволжский,138 069,1623,1932,
99,Берёзовский,Кемеровская область,Сибирский,44 932,1965,1965,
100,Берёзовский,Свердловская область,Уральский,59 698,1748,1938,
101,Беслан,Северная Осетия,Северо-Кавказский,35 929,1847,1950,Тулатово (до 1941);
102,Бийск,Алтайский край,Сибирский,183 852,1709,1782,
103,Бикин,Хабаровский край,Дальневосточный,16 240,1895,1938,
104,Билибино,Чукотский АО,Дальневосточный,5 546,1955,1993,Каральваам (до 1956)
105,Биробиджан,Еврейская АО,Дальневосточный,70 064,1915,1931,Тихонькая (до 1931)
106,Бирск,Башкортостан,Приволжский,44 295,1663,1781,Архангельское
107,Бирюсинск,Иркутская область,Сибирский,8 632,1897,1967,Суетиха (до 1967)
108,Бирюч,Белгородская область,Центральный,7 114,1705,2005,Будённый (с 1919 до 1958);
109,Благовещенск,Башкортостан,Приволжский,35 481,1756,1941,Благовещенский завод (до 1941)
110,Благовещенск,Амурская область,Дальневосточный,241 437,1856,1858,Усть-Зейская (до 1858);
111,Благодарный,Ставропольский край,Северо-Кавказский,30 827,1782,1971,Солдатское
112,Бобров,Воронежская область,Центральный,20 871,1698,1711,
113,Богданович,Свердловская область,Уральский,30 142,1885,1947,
114,Богородицк,Тульская область,Центральный,29 560,1663,1777,
115,Богородск,Нижегородская область,Приволжский,35 068,1561,1923,Богородское (до 1923)
116,Боготол,Красноярский край,Сибирский,18 206,1893,1911,
117,Богучар,Воронежская область,Центральный,14 370,1704,1779,
118,Бодайбо,Иркутская область,Сибирский,8 921,1864,1903,
119,Бокситогорск,Ленинградская область,Северо-Западный,16 185,1929,1950,Бокситы (до 1935)
120,Болгар,Татарстан,Приволжский,8 285,X век,1957,Булгар;
121,Бологое,Тверская область,Центральный,20 234,1495,1918,
122,Болотное,Новосибирская область,Сибирский,15 644,1805,1943,
123,Болохово,Тульская область,Центральный,9 339,XVI век,1943,
124,Болхов,Орловская область,Центральный,9 495,1196,1778,
125,Большой Камень,Приморский край,Дальневосточный,41 825,1947,1989,Стройка УНР-261 (до 1956)
126,Бор,Нижегородская область,Приволжский,78 372,XIV век,1938,
127,Борзя,Забайкальский край,Сибирский,29 596,1899,1950,
128,Борисоглебск,Воронежская область,Центральный,60 687,1698,1779,Новопавловск (до 1704)
129,Боровичи,Новгородская область,Северо-Западный,47 883,XV век,1770,
130,Боровск,Калужская область,Центральный,12 598,1358,1358,
131,Бородино,Красноярский край,Сибирский,15 174,1949,1981,
132,Братск,Иркутская область,Сибирский,224 071,1631,1955,"Брацк, Братско-Острожное, Братское"
133,Бронницы,Московская область,Центральный,21 831,1453,1781,Броничи
134,Брянск,Брянская область,Центральный,379 152,985,985,Дебрянск
135,Бугры,Ленинградская область,Северо-Западный,22 428,1855,2024,
136,Бугульма,Татарстан,Приволжский,81 677,1736,1781,
137,Бугуруслан,Оренбургская область,Приволжский,43 593,1748,1781,
138,Будённовск,Ставропольский край,Северо-Кавказский,58 103,1799,1799,Святой Крест (до 1921);
139,Бузулук,Оренбургская область,Приволжский,88 341,1736,1781,
140,Буинск,Татарстан,Приволжский,19 968,1691,1780,
141,Буй,Костромская область,Центральный,20 564,1536,1719,
142,Буйнакск,Дагестан,Северо-Кавказский,68 121,1834,1866,Темир-Хан-Шура (до 1922)
143,Бутурлиновка,Воронежская область,Центральный,24 397,1740,1917,
144,Валдай,Новгородская область,Северо-Западный,14 074,XV век,1770,
145,Валуйки,Белгородская область,Центральный,33 032,1593,1593,
146,Велиж,Смоленская область,Центральный,6 293,1536,1776,
147,Великие Луки,Псковская область,Северо-Западный,86 711,1166,1777,Луки (до 1406)
148,Великий Новгород,Новгородская область,Северо-Западный,224 286,VIII—IX века,859,Новгород (до 1999)
149,Великий Устюг,Вологодская область,Северо-Западный,28 670,1147,1147,Устюг
150,Вельск,Архангельская область,Северо-Западный,21 613,1137,1780,
151,Венёв,Тульская область,Центральный,12 668,1371,1777,
152,Верещагино,Пермский край,Приволжский,22 239,1898,1942,Очерская (до 1903);
153,Верея,Московская область,Центральный,4 906,1371,1781,
154,Верхнеуральск,Челябинская область,Уральский,8 929,1734,1781,Верхояицкая пристань (до 1736);
155,Верхний Тагил,Свердловская область,Уральский,10 113,1716,1966,
156,Верхний Уфалей,Челябинская область,Уральский,22 981,1761,1941,Верхне-Уфалейский завод
157,Верхняя Пышма,Свердловская область,Уральский,71 335,1854,1946,Пышма;
158,Верхняя Салда,Свердловская область,Уральский,41 034,1778,1938,
159,Верхняя Тура,Свердловская область,Уральский,8 554,1737,1941,
160,Верхотурье,Свердловская область,Уральский,6 706,1597,1598,
161,Верхоянск,Якутия,Дальневосточный,828,1638,1817,
162,Весьегонск,Тверская область,Центральный,6 330,1564,1776,
163,Ветлуга,Нижегородская область,Приволжский,7 681,1606,1778,Верхнее Воскресенское (до 1778)
164,Видное,Московская область,Центральный,101 490,1949,1965,"Паринки, Видново"
165,Вилюйск,Якутия,Дальневосточный,10 032,1634,1783,Оленск (до 1821)
166,Вилючинск,Камчатский край,Дальневосточный,21 774,1968,1968,Советский (до 1970);
167,Вихоревка,Иркутская область,Сибирский,21 719,1947,1966,
168,Вичуга,Ивановская область,Центральный,30 694,1925,1925,
169,Владивосток,Приморский край,Дальневосточный,603 519,1860,1880,
170,Владикавказ,Северная Осетия,Северо-Кавказский,295 830,1784,1860,"Орджоникидзе (с 1931 до 1944, с 1954 до 1990);"
171,Владимир,Владимирская область,Центральный,349 951,990,990,
172,Волгоград,Волгоградская область,Южный,1 028 036,1589,1780,Царицын (до 1925);
173,Волгодонск,Ростовская область,Южный,168 048,1950,1956,Волго-Донск
174,Волгореченск,Костромская область,Центральный,14 355,1964,1994,
175,Волжск,Марий Эл,Приволжский,53 013,XVI век,1940,Лопатино (до 1938)
176,Волжский,Волгоградская область,Южный,321 479,1951,1954,
177,Вологда,Вологодская область,Северо-Западный,313 944,1147,1147,
178,Володарск,Нижегородская область,Приволжский,9 705,XIX век,1956,Сейма (до 1920);
179,Волоколамск,Московская область,Центральный,26 389,1135,1135,"Волок-на-Ламе, Волок Ламский"
180,Волосово,Ленинградская область,Северо-Западный,11 931,1870,1999,"Волосва, Волосова"
181,Волхов,Ленинградская область,Северо-Западный,38 511,1918,1933,Званка (до 1933);
182,Волчанск,Свердловская область,Уральский,8 573,1956,1956,Лесная Волчанка (до 1956)
183,Вольск,Саратовская область,Приволжский,55 035,1780,1780,
184,Воркута,Коми,Северо-Западный,56 985,1936,1943,Рудник
185,Воронеж,Воронежская область,Центральный,1 057 681,1586,1586,
186,Ворсма,Нижегородская область,Приволжский,10 162,1588,1955,
187,Воскресенск,Московская область,Центральный,95 495,1862,1938,
188,Воткинск,Удмуртия,Приволжский,97 471,1759,1935,Воткинский завод
189,Всеволожск,Ленинградская область,Северо-Западный,79 038,1892,1963,
190,Вуктыл,Коми,Северо-Западный,9 322,1968,1984,
191,Выборг,Ленинградская область,Северо-Западный,72 530,1293,1403,
192,Выкса,Нижегородская область,Приволжский,45 240,XVI век,1934,
193,Высоковск,Московская область,Центральный,13 081,1864,1940,
194,Высоцк,Ленинградская область,Северо-Западный,1 129,1532,1940,Тронгзунд (до 1917);
195,Вытегра,Вологодская область,Северо-Западный,10 386,1710,1773,
196,Вышний Волочёк,Тверская область,Центральный,45 830,1471,1770,
197,Вяземский,Хабаровский край,Дальневосточный,12 775,1894,1951,Вяземское
198,Вязники,Владимирская область,Центральный,36 203,1608,1778,
199,Вязьма,Смоленская область,Центральный,51 950,1239,1776,
200,Вятские Поляны,Кировская область,Приволжский,29 742,1596,1942,
201,Гаврилов Посад,Ивановская область,Центральный,5 429,1434,1789,
202,Гаврилов-Ям,Ярославская область,Центральный,16 084,1545,1938,"Гавриловский Ям, Гаврилов-Ямская слобода"
203,Гагарин,Смоленская область,Центральный,26 500,1705,1776,Гжатск (до 1968)
204,Гаджиево,Мурманская область,Северо-Западный,9 297,1957,1981,Ягельная Губа (до 1967);
205,Гай,Оренбургская область,Приволжский,33 280,1959,1979,
206,Галич,Костромская область,Центральный,12 856,1159,1237,Галич Мерьский
207,Гатчина,Ленинградская область,Северо-Западный,94 377,1499,1796,Троцк (с 1923 до 1929);
208,Гвардейск,Калининградская область,Северо-Западный,14 122,1255,1722,Тапиау (до 1946)
209,Гдов,Псковская область,Северо-Западный,3 455,XIV век,1322,
210,Геленджик,Краснодарский край,Южный,80 204,1831,1915,"Торик, Пагры, Ептала"
211,Георгиевск,Ставропольский край,Северо-Кавказский,63 221,1777,1786,
212,Глазов,Удмуртия,Приволжский,87 762,1678,1780,
213,Голицыно,Московская область,Центральный,22 733,1872,2004,
214,Горбатов,Нижегородская область,Приволжский,2 009,XVI век,1779,Горбатое (до 1779)
215,Горно-Алтайск,Алтай,Сибирский,65 342,1830,1928,Улала (до 1932);
216,Горнозаводск,Пермский край,Приволжский,11 073,1947,1965,Новопашийский (до 1965)
217,Горняк,Алтайский край,Сибирский,10 112,1942,1969,Золотуха
218,Городец,Нижегородская область,Приволжский,28 660,1152,1922,
219,Городище,Пензенская область,Приволжский,7 796,1681,1780,
220,Городовиковск,Калмыкия,Южный,8 285,1872,1971,Башанта (до 1971)
221,Гороховец,Владимирская область,Центральный,12 666,1158,1158,
222,Горячий Ключ,Краснодарский край,Южный,40 903,1868,1965,
223,Грайворон,Белгородская область,Центральный,6 179,1678,1838,
224,Гремячинск,Пермский край,Приволжский,8 360,1941,1949,
225,Грозный,Чечня,Северо-Кавказский,328 533,1818,1869,Грозная (до 1869)
226,Грязи,Липецкая область,Центральный,43 908,1868,1938,
227,Грязовец,Вологодская область,Северо-Западный,14 505,1538,1780,"Грязовитский, Грязлевицы"
228,Губаха,Пермский край,Приволжский,23 397,1755,1941,
229,Губкин,Белгородская область,Центральный,85 225,1939,1955,Коробково (до 1939)
230,Губкинский,Ямало-Ненецкий АО,Уральский,33 273,1986,1996,
231,Гудермес,Чечня,Северо-Кавказский,64 376,XIX век,1941,посёлок имени Калинина
232,Гуково,Ростовская область,Южный,60 361,1878,1955,
233,Гулькевичи,Краснодарский край,Южный,33 357,1875,1961,
234,Гурьевск,Калининградская область,Северо-Западный,26 760,1262,1946,Нойхаузен (до 1946)
235,Гурьевск,Кемеровская область,Сибирский,22 134,1816,1938,
236,Гусев,Калининградская область,Северо-Западный,29 234,XVI век,1724,Биссеркемен (до 1550);
237,Гусиноозёрск,Бурятия,Сибирский,24 451,1939,1953,Шахты (до 1953)
238,Гусь-Хрустальный,Владимирская область,Центральный,51 552,1756,1931,Гусь;
239,Давлеканово,Башкортостан,Приволжский,21 834,1730-е,1942,
240,Дагестанские Огни,Дагестан,Северо-Кавказский,31 412,1914,1914,
241,Далматово,Курганская область,Уральский,11 584,1644,1947,Служняя (до 1691);
242,Дальнегорск,Приморский край,Дальневосточный,33 655,1897,1989,Тетюхе (до 1972)
243,Дальнереченск,Приморский край,Дальневосточный,23 613,1859,1917,Иман (до 1972)
244,Данилов,Ярославская область,Центральный,13 677,XV век,1777,Даниловское (до 1777)
245,Данков,Липецкая область,Центральный,19 726,1563,1957,Донков
246,Дегтярск,Свердловская область,Уральский,15 497,1914,1954,
247,Дедовск,Московская область,Центральный,30 731,1911,1940,
248,Демидов,Смоленская область,Центральный,6 326,1499,1776,Поречье (до 1918)
249,Дербент,Дагестан,Северо-Кавказский,124 953,438,1840,Баб-аль-Абваб
250,Десногорск,Смоленская область,Центральный,25 345,1974,1989,
251,Джанкой,Крым,Южный,37 014,1784,1917,
252,Дзержинск,Нижегородская область,Приволжский,218 630,1606,1930,Чёрное (до 1927);
253,Дзержинский,Московская область,Центральный,57 918,1380-е,1981,Угреша
254,Дивногорск,Красноярский край,Сибирский,27 477,1956,1963,Скит
255,Дигора,Северная Осетия,Северо-Кавказский,9 922,1852,1964,Христиановское (до 1934)
256,Димитровград,Ульяновская область,Приволжский,110 968,1698,1926,Мелекесс (до 1972)
257,Дмитриев,Курская область,Центральный,6 317,1779,1779,
258,Дмитров,Московская область,Центральный,65 574,1154,1154,
259,Дмитровск,Орловская область,Центральный,5 202,1711,1782,Дмитровка (до 1782);
260,Дно,Псковская область,Северо-Западный,7 850,1897,1925,Донщина
261,Добрянка,Пермский край,Приволжский,28 782,1623,1943,Домрянка
262,Долгопрудный,Московская область,Центральный,120 907,1931,1957,Дирижаблестрой (до 1938)
263,Долинск,Сахалинская область,Дальневосточный,11 740,1884,1946,Галкино-Врасское (до 1905);
264,Домодедово,Московская область,Центральный,152 404,1900,1947,Никитск
265,Донецк,Ростовская область,Южный,46 623,1681,1951,Гундоровская (до 1951);
266,Донской,Тульская область,Центральный,63 837,1773,1939,Ходырев;
267,Дорогобуж,Смоленская область,Центральный,9 528,1150,XIII век,
268,Дрезна,Московская область,Центральный,12 295,1897,1940,
269,Дубна,Московская область,Центральный,74 183,1956,1956,Иваньково
270,Дубовка,Волгоградская область,Южный,14 779,1732,1803,
271,Дудинка,Красноярский край,Сибирский,19 556,1667,1951,
272,Духовщина,Смоленская область,Центральный,3 990,1675,1777,
273,Дюртюли,Башкортостан,Приволжский,31 185,1795,1989,
274,Дятьково,Брянская область,Центральный,25 255,1626,1938,
275,Евпатория,Крым,Южный,107 877,497 год до н. э.,1784,"Керкинитида, Гезлёв"
276,Егорьевск,Московская область,Центральный,71 686,1462,1778,
277,Ейск,Краснодарский край,Южный,82 943,1848,1848,
278,Екатеринбург,Свердловская область,Уральский,1 544 376,1723,1781,Свердловск (с 1924 до 1991)
279,Елабуга,Татарстан,Приволжский,73 630,XI век,1780,Трёхсвятское
280,Елец,Липецкая область,Центральный,99 875,1146,1778,
281,Елизово,Камчатский край,Дальневосточный,36 240,1848,1975,Старый Острог (до 1879);
282,Ельня,Смоленская область,Центральный,8 332,1150,1776,
283,Еманжелинск,Челябинская область,Уральский,27 632,1931,1951,Еманжелинские угольные копи (до 1951)
284,Емва,Коми,Северо-Западный,10 994,1941,1985,Княж-Погост;
285,Енисейск,Красноярский край,Сибирский,17 537,1619,1676,"Тунгусский острог, Енисейский острог"
286,Ермолино,Калужская область,Центральный,10 809,1601,2008,
287,Ершов,Саратовская область,Приволжский,18 095,1893,1963,
288,Ессентуки,Ставропольский край,Северо-Кавказский,119 658,1825,1917,Ессентукская
289,Ефремов,Тульская область,Центральный,36 545,1637,1777,
290,Железноводск,Ставропольский край,Северо-Кавказский,22 863,1810,1917,
291,Железногорск,Красноярский край,Сибирский,82 723,1950,1954,Почтовый ящик №9 (до 1956);
292,Железногорск,Курская область,Центральный,97 038,1957,1962,Октябрьский (до 1958)
293,Железногорск-Илимский,Иркутская область,Сибирский,21 621,1948,1965,Коршуниха (до 1958);
294,Жердевка,Тамбовская область,Центральный,13 883,1745,1954,Чибизовка (до 1954)
295,Жигулёвск,Самарская область,Приволжский,50 466,1949,1952,
296,Жиздра,Калужская область,Центральный,5 545,1146,1777,
297,Жирновск,Волгоградская область,Южный,15 555,XVIII век,1958,Жирное (до 1954);
298,Жуков,Калужская область,Центральный,16 224,XVII век,1996,Угодский Завод (до 1974);
299,Жуковка,Брянская область,Центральный,17 628,1871,1962,
300,Жуковский,Московская область,Центральный,111 222,1935,1947,Стаханово (до 1947)
301,Завитинск,Амурская область,Дальневосточный,9 615,1906,1954,Завитая (до 1954)
302,Заводоуковск,Тюменская область,Уральский,27 100,1729,1960,Уковская (до 1787);
303,Заволжск,Ивановская область,Центральный,8 896,XIX век,1954,Владычное (до 1934);
304,Заволжье,Нижегородская область,Приволжский,36 763,1947,1964,Пестово
305,Задонск,Липецкая область,Центральный,9 887,1615,1779,
306,Заинск,Татарстан,Приволжский,39 739,1656,1978,
307,Закаменск,Бурятия,Сибирский,11 365,1934,1944,Джидастрой (до 1944);
308,Заозёрный,Красноярский край,Сибирский,10 573,1776,1948,"Троицкоозёрское, Троицко-Заозёрное"
309,Заозёрск,Мурманская область,Северо-Западный,7 762,1958,1958,Заозёрный (до 1981);
310,Западная Двина,Тверская область,Центральный,7 869,1900,1937,
311,Заполярный,Мурманская область,Северо-Западный,14 791,1956,1963,
312,Зарайск,Московская область,Центральный,20 736,1146,1778,
313,Заречный,Пензенская область,Приволжский,58 510,1958,1958,Пенза-19 (до 1992)
314,Заречный,Свердловская область,Уральский,28 112,1955,1992,
315,Заринск,Алтайский край,Сибирский,41 272,1748,1979,"Заринский, Сорокино"
316,Звенигово,Марий Эл,Приволжский,10 994,1860,1974,"Чекуры, Звенижский"
317,Звенигород,Московская область,Центральный,35 842,1152,1781,
318,Зверево,Ростовская область,Южный,19 353,1819,1989,
319,Зеленогорск,Красноярский край,Сибирский,54 279,1956,1956,"Усть-Барга, Заозёрный-13, Красноярск-45"
320,Зеленоградск,Калининградская область,Северо-Западный,16 625,1252,1947,Кранц (до 1946)
321,Зеленодольск,Татарстан,Приволжский,99 137,1865,1932,Кабачищи (до 1897);
322,Зеленокумск,Ставропольский край,Северо-Кавказский,33 187,1781,1965,Воронцово-Александровское (до 1963);
323,Зерноград,Ростовская область,Южный,24 076,1929,1951,Зерновой (до 1960)
324,Зея,Амурская область,Дальневосточный,19 414,1879,1907,Зейский Склад (до 1906);
325,Зима,Иркутская область,Сибирский,30 640,1743,1922,"Мироново, Зиминское"
326,Златоуст,Челябинская область,Уральский,161 774,1754,1865,Златоустовский завод (до 1811)
327,Злынка,Брянская область,Центральный,5 270,1702,1925,
328,Змеиногорск,Алтайский край,Сибирский,9 410,1736,1952,
329,Знаменск,Астраханская область,Южный,24 628,1948,1962,Капустин Яр-1 (до 1993)
330,Зубцов,Тверская область,Центральный,6 217,1216,1216,
331,Зуевка,Кировская область,Приволжский,9 767,1899,1944,
332,Ивангород,Ленинградская область,Северо-Западный,9 861,1492,1954,
333,Иваново,Ивановская область,Центральный,361 644,1561,1871,Иваново-Вознесенск (до 1932)
334,Ивантеевка,Московская область,Центральный,82 827,1564,1938,
335,Ивдель,Свердловская область,Уральский,14 306,1831,1943,Никито-Ивдель
336,Игарка,Красноярский край,Сибирский,3 634,1929,1931,
337,Ижевск,Удмуртия,Приволжский,623 472,1760,1918,Ижевский завод (до 1918);
338,Избербаш,Дагестан,Северо-Кавказский,55 996,1932,1949,
339,Изобильный,Ставропольский край,Северо-Кавказский,38 614,1895,1965,Изобильно-Тищенский (до 1935);
340,Иланский,Красноярский край,Сибирский,15 945,1646,1939,
341,Инза,Ульяновская область,Приволжский,16 293,1897,1946,
342,Иннополис,Татарстан,Приволжский,3 955,2012,2015,
343,Инсар,Мордовия,Приволжский,7 920,1648,1780,
344,Инта,Коми,Северо-Западный,20 271,1940,1954,
345,Ипатово,Ставропольский край,Северо-Кавказский,26 122,1860,1979,Чемрек (до 1880);
346,Ирбит,Свердловская область,Уральский,37 009,1631,1775,
347,Иркутск,Иркутская область,Сибирский,606 369,1661,1686,"Яндашский острог, Иркутский острог"
348,Исилькуль,Омская область,Сибирский,20 515,1895,1945,Исиль-Куль
349,Искитим,Новосибирская область,Сибирский,57 147,1717,1938,
350,Истра,Московская область,Центральный,37 474,1589,1781,Сафатово (до 1636);
351,Ишим,Тюменская область,Уральский,67 614,1687,1782,Коркина слобода (до 1782)
352,Ишимбай,Башкортостан,Приволжский,64 041,1932,1940,
353,Йошкар-Ола,Марий Эл,Приволжский,281 248,1584,1781,Царевококшайск (до 1919);
354,Кадников,Вологодская область,Северо-Западный,4 106,1492,1780,
355,Казань,Татарстан,Приволжский,1 308 660,1005,1005,
356,Калач,Воронежская область,Центральный,17 624,1716,1945,
357,Калач-на-Дону,Волгоградская область,Южный,24 277,1708,1951,Калач (до 1951)
358,Калачинск,Омская область,Сибирский,21 378,1952,1918,"Калачики, Калач"
359,Калининград,Калининградская область,Северо-Западный,490 449,1255,1255,Твангсте (до 1255);
360,Калининск,Саратовская область,Приволжский,14 949,1680,1962,Баланда (до 1962)
361,Калтан,Кемеровская область,Сибирский,21 752,1946,1959,
362,Калуга,Калужская область,Центральный,337 058,1371,1371,
363,Калязин,Тверская область,Центральный,12 621,1434,1775,
364,Камбарка,Удмуртия,Приволжский,10 080,1767,1945,
365,Каменка,Пензенская область,Приволжский,33 491,XVIII век,1951,
366,Каменногорск,Ленинградская область,Северо-Западный,7 160,1597,1940,Антреа (до 1948)
367,Каменск-Уральский,Свердловская область,Уральский,164 192,1682,1935,Железенское поселье (до 1699);
